Tool,n,Time_A,Time_B,AUC_A,AUC_B,RAM_A,RAM_B
R,0.01,20,3,64.9,63.1,1,1
R,0.1,200,30,72.3,71.6,1,1
R,1,3000,400,74.1,73.9,1,1
R,10,,5000,,74.3,,4
Python,0.01,1100,120,69.9,69.1,2,2
Python,0.1,,1500,,72.9,,3
Python,1,,,,,,
Python,10,,,,,,
H2O,0.01,90,7,68.2,67.7,3,2
H2O,0.1,500,40,71.8,72.3,3,2
H2O,1,900,60,75.9,74.3,9,2
H2O,10,3500,300,78.3,74.6,11,20
Spark,0.01,NA,700,NA,67.8,NA,10
Spark,0.1,NA,1200,NA,72.3,NA,30
Spark,1,,6000,,73.8,,30
Spark,10,,60000,,74.1,,110
xgboost,0.01,6,1,70.3,69.8,1,1
xgboost,0.1,40,4,74.1,73.5,1,1
xgboost,1,400,45,76.9,74.5,1,1
xgboost,10,9000,1000,78.7,74.7,6,5
